path,title,extracted_at,non_page_by_convention,word_count,heading_count,heading_max_depth,code_fence_count,code_block_density,internal_link_count,todo_flag,days_since_update,days_since_update_raw,age_days,median_line_age_days,last_update_commit_msg,commit_count,author_count,flesch_reading_ease,words_per_heading,staleness_to_age_ratio
website/docs/configuration.mdx,Configuration,2026-08-17T15:06:15.936883+00:00,False,667,9,3,16,23.99,8,False,66,66,2667,1712,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),46,21,51.67,74.11,0.02
website/docs/deployment/github-pages.mdx,Deploying to GitHub Pages,2026-08-17T15:06:15.936883+00:00,False,1580,6,2,17,10.76,0,False,66,66,66,66,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),1,1,61.6,263.33,1.0
website/docs/deployment/index.mdx,Deployment,2026-08-17T15:06:15.936883+00:00,False,954,8,2,6,6.29,9,False,66,66,66,66,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),1,1,45.6,119.25,1.0
website/docs/deployment/netlify.mdx,Deploying to Netlify,2026-08-17T15:06:15.936883+00:00,False,232,1,1,3,12.93,0,False,66,66,66,66,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),1,1,49.48,232.0,1.0
website/docs/deployment/vercel.mdx,Deploying to Vercel,2026-08-17T15:06:15.936883+00:00,False,110,1,1,0,0.0,0,False,66,66,66,66,docs(website): split Deployment page into a category with hosting provider subpages + cleanup providers (#12139),1,1,45.0,110.0,1.0
website/docs/docusaurus-core.mdx,Docusaurus Client API,2026-08-17T15:06:15.936883+00:00,False,1399,38,4,34,24.3,5,False,60,60,2667,1809,"docs: improve useIsBrowser section, clarify hydration vs DOM availabi… (#12176)",61,20,53.44,36.82,0.02
website/docs/guides/creating-pages.mdx,my hello page title,2026-08-17T15:06:15.936883+00:00,False,581,5,3,3,5.16,4,False,989,163,2667,2208,docs: add link to onDuplicateRoutes page (#9602),35,12,56.17,116.2,0.37
website/docs/guides/docs/docs-create-doc.mdx,Create a doc,2026-08-17T15:06:15.936883+00:00,False,611,8,4,9,14.73,8,False,382,163,2055,1542,docs: clarify impact of document ID on the URL (#11339),22,11,57.15,76.38,0.19
website/docs/guides/docs/docs-introduction.mdx,Docs Introduction,2026-08-17T15:06:15.936883+00:00,False,291,2,2,5,17.18,6,False,1032,163,2597,1663,docs: add Docusaurus v3.0 upgrade guide (#9417),47,19,58.86,145.5,0.4
website/docs/guides/docs/docs-multi-instance.mdx,Docs Multi-instance,2026-08-17T15:06:15.936883+00:00,False,433,8,3,6,13.86,6,False,1038,163,2055,2055,feat(core): support TypeScript + ESM configuration (#9317),12,5,48.02,54.12,0.51
website/docs/guides/docs/sidebar/autogenerated.mdx,Autogenerated,2026-08-17T15:06:15.936883+00:00,False,756,7,3,19,25.13,4,False,304,163,1667,1667,fix(docs): add support for missing `sidebar_key` front matter attribute (#11490),18,7,39.49,108.0,0.18
